order_id,date_of_order,product_id,price,name,quantity
1,2019-08-03 20:25:00,6,0.8,Plain Papadum,2
1,2019-08-03 20:25:00,240,12.95,King Prawn Balti,1
1,2019-08-03 20:25:00,19,2.95,Garlic Naan,1
1,2019-08-03 20:25:00,36,3.95,Mushroom Rice,1
1,2019-08-03 20:25:00,111,8.95,Paneer Tikka Masala,1
1,2019-08-03 20:25:00,3,0.5,Mango Chutney,1
2,2019-08-03 20:17:00,11,2.6,Plain Naan,1
2,2019-08-03 20:17:00,36,3.95,Mushroom Rice,1
2,2019-08-03 20:17:00,55,4.95,Tandoori Chicken (1/4),1
2,2019-08-03 20:17:00,98,7.95,Vindaloo - Lamb,1
2,2019-08-03 20:17:00,8,1.95,Chapati,1
2,2019-08-03 20:17:00,58,4.95,Lamb Tikka,1
2,2019-08-03 20:17:00,66,5.95,Saag Paneer,1
3,2019-08-03 20:09:00,54,4.95,Aloo Chaat,1
3,2019-08-03 20:09:00,68,5.95,Chicken Pakora,1
3,2019-08-03 20:09:00,169,9.95,Chicken Chilli Garlic,1
3,2019-08-03 20:09:00,170,9.95,Lamb Biryani,1
3,2019-08-03 20:09:00,13,2.95,Keema Naan,1
4,2019-08-03 20:01:00,68,5.95,Chicken Pakora,1
4,2019-08-03 20:01:00,6,0.8,Plain Papadum,1
4,2019-08-03 20:01:00,3,0.5,Mango Chutney,1
4,2019-08-03 20:01:00,4,0.5,Red Sauce,1
4,2019-08-03 20:01:00,191,9.95,Korma - Prawn,1
4,2019-08-03 20:01:00,14,2.95,Peshwari Naan,1
4,2019-08-03 20:01:00,15,2.95,Pilau Rice,1
5,2019-08-03 19:44:00,165,9.95,Chicken Balti,1
5,2019-08-03 19:44:00,34,3.95,Special Fried Rice,2
6,2019-08-03 19:42:00,103,8.95,Chicken Tikka Masala,1
6,2019-08-03 19:42:00,95,7.95,Curry - Lamb,1
6,2019-08-03 19:42:00,15,2.95,Pilau Rice,1
6,2019-08-03 19:42:00,14,2.95,Peshwari Naan,1
6,2019-08-03 19:42:00,6,0.8,Plain Papadum,1
7,2019-08-03 19:41:00,6,0.8,Plain Papadum,2
7,2019-08-03 19:41:00,38,3.95,Vegetable Rice,1
7,2019-08-03 19:41:00,203,9.95,Saag - Prawn,1
7,2019-08-03 19:41:00,136,8.95,Tandoori Chicken Masala,1
8,2019-08-03 19:29:00,15,2.95,Pilau Rice,1
8,2019-08-03 19:29:00,144,8.95,Lamb Tikka Chilli Masala,1
8,2019-08-03 19:29:00,14,2.95,Peshwari Naan,1
8,2019-08-03 19:29:00,74,5.95,Saag Aloo,1
9,2019-08-03 19:28:00,79,5.95,Aloo Gobi,1
9,2019-08-03 19:28:00,64,5.95,Bhindi Bhajee,1
9,2019-08-03 19:28:00,66,5.95,Saag Paneer,1
9,2019-08-03 19:28:00,1,0.5,Mint Sauce,2
9,2019-08-03 19:28:00,176,9.95,Chicken Biryani,1
9,2019-08-03 19:28:00,19,2.95,Garlic Naan,1
9,2019-08-03 19:28:00,11,2.6,Plain Naan,1
9,2019-08-03 19:28:00,136,8.95,Tandoori Chicken Masala,1
10,2019-08-03 19:26:00,6,0.8,Plain Papadum,4
10,2019-08-03 19:26:00,4,0.5,Red Sauce,2
10,2019-08-03 19:26:00,103,8.95,Chicken Tikka Masala,1
10,2019-08-03 19:26:00,94,7.95,Madras - Chicken Tikka,1
10,2019-08-03 19:26:00,36,3.95,Mushroom Rice,2
10,2019-08-03 19:26:00,19,2.95,Garlic Naan,1
10,2019-08-03 19:26:00,73,5.95,Bombay Aloo,1
11,2019-08-03 19:25:00,28,3.95,Onion Bhajee,1
11,2019-08-03 19:25:00,60,4.95,Sheek Kebab,1
11,2019-08-03 19:25:00,6,0.8,Plain Papadum,8
11,2019-08-03 19:25:00,3,0.5,Mango Chutney,2
11,2019-08-03 19:25:00,1,0.5,Mint Sauce,2
11,2019-08-03 19:25:00,5,0.5,Onion Chutney,1
11,2019-08-03 19:25:00,110,8.95,Chicken Tikka (Main),1
11,2019-08-03 19:25:00,102,8.95,Korma - Chicken,1
11,2019-08-03 19:25:00,103,8.95,Chicken Tikka Masala,1
11,2019-08-03 19:25:00,18,2.95,Plain Rice,1
11,2019-08-03 19:25:00,15,2.95,Pilau Rice,1
11,2019-08-03 19:25:00,13,2.95,Keema Naan,2
11,2019-08-03 19:25:00,30,3.95,French Fries,1
11,2019-08-03 19:25:00,176,9.95,Chicken Biryani,1
11,2019-08-03 19:25:00,36,3.95,Mushroom Rice,1
12,2019-08-03 19:16:00,28,3.95,Onion Bhajee,1
12,2019-08-03 19:16:00,102,8.95,Korma - Chicken,1
12,2019-08-03 19:16:00,14,2.95,Peshwari Naan,1
12,2019-08-03 19:16:00,15,2.95,Pilau Rice,1
13,2019-08-03 18:37:00,110,8.95,Chicken Tikka (Main),1
13,2019-08-03 18:37:00,103,8.95,Chicken Tikka Masala,1
13,2019-08-03 18:37:00,35,3.95,Meat Samosa,1
14,2019-08-03 18:36:00,6,0.8,Plain Papadum,2
14,2019-08-03 18:36:00,3,0.5,Mango Chutney,1
14,2019-08-03 18:36:00,1,0.5,Mint Sauce,1
14,2019-08-03 18:36:00,4,0.5,Red Sauce,1
14,2019-08-03 18:36:00,42,3.95,Keema Rice,1
14,2019-08-03 18:36:00,13,2.95,Keema Naan,1
14,2019-08-03 18:36:00,169,9.95,Chicken Chilli Garlic,1
14,2019-08-03 18:36:00,168,9.95,Lamb Hari Mirch,1
14,2019-08-03 18:36:00,81,5.95,Mushroom Bhajee,1
15,2019-08-03 18:36:00,92,7.95,Curry - Chicken,1
15,2019-08-03 18:36:00,73,5.95,Bombay Aloo,1
15,2019-08-03 18:36:00,11,2.6,Plain Naan,1
15,2019-08-03 18:36:00,38,3.95,Vegetable Rice,1
16,2019-08-03 18:34:00,212,10.95,Chicken Tikka Biryani,1
16,2019-08-03 18:34:00,82,5.95,Mixed Starter,1
17,2019-08-03 18:32:00,28,3.95,Onion Bhajee,1
17,2019-08-03 18:32:00,212,10.95,Chicken Tikka Biryani,1
17,2019-08-03 18:32:00,113,8.95,Bhuna - Chicken Tikka,1
17,2019-08-03 18:32:00,36,3.95,Mushroom Rice,1
18,2019-08-03 18:12:00,42,3.95,Keema Rice,1
18,2019-08-03 18:12:00,91,7.95,Madras - Lamb,1
18,2019-08-03 18:12:00,73,5.95,Bombay Aloo,1
